번호,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
44,용산구,이촌2동,7,1,1,1,1,0,10,1,46,4,0.103200732,133,7,2,1
45,용산구,이태원1동,3,1,1,1,1,0,26,25,800,13,0.048216735,63,3,1,1
46,용산구,이태원2동,5,1,1,1,1,0,24,9,472,11,0.072748057,94,5,2,1
47,용산구,서빙고동,15,3,2,2,2,0,16,2,68,7,0.236854138,305,15,4,1
48,용산구,보광동,4,1,1,1,1,0,31,11,150,26,0.060059442,78,4,1,1
49,용산구,청파동,5,1,1,1,1,0,46,9,246,23,0.076977595,99,5,2,1
50,용산구,원효로1동,3,1,1,1,1,0,39,45,264,24,0.049908551,65,3,1,1
51,용산구,한강로동,15,3,2,2,2,0,27,102,591,56,0.245313214,316,15,4,1
52,용산구,한남동,16,3,3,2,2,0,36,51,881,39,0.254618198,328,16,5,1
54,성동구,왕십리2동,3,1,1,1,1,0,65,16,100,37,0.050909021,63,5,2,1
55,성동구,마장동,6,2,2,1,1,0,40,18,148,18,0.13037676,160,12,4,1
56,성동구,사근동,6,2,2,1,1,0,23,30,386,5,0.136585177,167,12,4,1
57,성동구,행당1동,4,2,1,1,1,0,43,16,227,45,0.073259322,90,7,2,1
58,성동구,행당2동,3,1,1,1,1,0,67,4,88,48,0.052150704,64,5,2,1
59,성동구,응봉동,3,2,1,1,1,0,36,2,32,15,0.070775955,87,7,2,1
60,성동구,금호1가동,3,1,1,1,1,0,55,7,67,23,0.057117438,70,5,2,1
61,성동구,금호4가동,5,2,1,1,1,0,49,17,142,25,0.104301408,128,9,3,1
62,성동구,성수1가1동,11,4,3,2,1,0,43,7,135,14,0.245853319,300,22,7,1
63,성동구,성수1가2동,5,2,2,1,1,0,38,26,315,18,0.110509825,135,10,3,1
64,성동구,성수2가1동,7,3,2,1,1,0,23,18,298,27,0.146518645,179,13,4,1
65,성동구,성수2가3동,6,2,2,1,1,0,24,40,410,46,0.127893393,157,11,4,1
66,성동구,송정동,4,2,1,1,1,0,16,9,72,8,0.093126257,114,8,3,1
67,성동구,용답동,12,5,3,2,1,0,40,18,236,28,0.288070555,352,25,8,1
68,성동구,왕십리도선동,4,2,1,1,1,0,47,40,389,47,0.089401207,110,8,3,1
69,성동구,금호2.3가동,4,2,1,1,1,0,53,15,218,37,0.079467739,97,7,3,1
70,성동구,옥수동,10,4,3,2,1,0,80,5,153,42,0.242128269,296,21,7,1
72,광진구,화양동,5,3,2,1,1,1,100,227,1297,80,0.130077986,84,8,3,1
73,광진구,군자동,3,2,1,1,1,1,124,106,629,62,0.082980784,54,5,2,1
74,광진구,중곡1동,3,2,1,1,1,1,58,55,452,71,0.069524441,45,4,2,1
75,광진구,중곡2동,2,2,1,1,1,1,160,89,468,96,0.061674907,40,4,1,1
76,광진구,중곡3동,3,2,1,1,1,1,31,15,172,26,0.067281717,44,4,2,1
77,광진구,중곡4동,9,6,3,2,2,1,137,64,413,79,0.260155971,167,15,5,1
78,광진구,능동,4,3,2,1,1,1,59,47,263,42,0.123349814,80,7,2,1
79,광진구,구의1동,2,2,1,1,1,1,98,79,483,62,0.062796269,41,4,2,1
80,광진구,구의2동,5,4,2,1,1,1,145,71,363,61,0.15586931,101,9,3,1
81,광진구,구의3동,4,3,2,1,1,1,212,61,448,71,0.114378918,74,7,2,1
